#At time x process y state arr w total z remain y wait k
At time 88 process 13 Stopped arr 79 total 22 remain 20 wait 7
At time 88 process 3 Resumed arr 20 total 26 remain 12 wait 54
At time 90 process 3 Stopped arr 20 total 26 remain 10 wait 54
At time 90 process 4 Resumed arr 21 total 20 remain 6 wait 55
At time 92 process 4 Stopped arr 21 total 20 remain 4 wait 55
At time 92 process 5 Resumed arr 29 total 13 remain 3 wait 53
At time 94 process 5 Stopped arr 29 total 13 remain 1 wait 53
At time 94 process 6 Resumed arr 36 total 19 remain 11 wait 50
At time 96 process 6 Stopped arr 36 total 19 remain 9 wait 50
At time 96 process 7 Resumed arr 46 total 26 remain 20 wait 44
At time 98 process 7 Stopped arr 46 total 26 remain 18 wait 44
At time 98 process 8 Resumed arr 53 total 27 remain 23 wait 41
At time 100 process 8 Stopped arr 53 total 27 remain 21 wait 41
At time 100 process 9 Resumed arr 61 total 29 remain 25 wait 35
At time 102 process 9 Stopped arr 61 total 29 remain 23 wait 35
At time 102 process 10 Resumed arr 70 total 9 remain 7 wait 30
At time 104 process 10 Stopped arr 70 total 9 remain 5 wait 30
At time 104 process 11 Resumed arr 75 total 22 remain 20 wait 27
At time 106 process 11 Stopped arr 75 total 22 remain 18 wait 27
At time 106 process 12 Resumed arr 75 total 17 remain 15 wait 29
At time 108 process 12 Stopped arr 75 total 17 remain 13 wait 29
At time 108 process 13 Resumed arr 79 total 22 remain 20 wait 27
At time 110 process 13 Stopped arr 79 total 22 remain 18 wait 27
At time 110 process 14 Started arr 89 total 18 remain 18 wait 21
At time 112 process 14 Stopped arr 89 total 18 remain 16 wait 21
At time 112 process 15 Started arr 97 total 7 remain 7 wait 15
At time 114 process 15 Stopped arr 97 total 7 remain 5 wait 15
At time 114 process 3 Resumed arr 20 total 26 remain 10 wait 78
At time 116 process 3 Stopped arr 20 total 26 remain 8 wait 78
At time 116 process 4 Resumed arr 21 total 20 remain 4 wait 79
At time 118 process 4 Stopped arr 21 total 20 remain 2 wait 79
At time 118 process 5 Resumed arr 29 total 13 remain 1 wait 77
At time 119 process 5 Finished arr 29 total 13 remain 0 wait 77 TA 90 WTA 6.92
At time 119 process 6 Resumed arr 36 total 19 remain 9 wait 73
At time 121 process 6 Stopped arr 36 total 19 remain 7 wait 73
At time 121 process 7 Resumed arr 46 total 26 remain 18 wait 67
At time 123 process 7 Stopped arr 46 total 26 remain 16 wait 67
At time 123 process 8 Resumed arr 53 total 27 remain 21 wait 64
At time 125 process 8 Stopped arr 53 total 27 remain 19 wait 64
At time 125 process 9 Resumed arr 61 total 29 remain 23 wait 58
At time 127 process 9 Stopped arr 61 total 29 remain 21 wait 58
At time 127 process 10 Resumed arr 70 total 9 remain 5 wait 53
At time 129 process 10 Stopped arr 70 total 9 remain 3 wait 53
At time 129 process 11 Resumed arr 75 total 22 remain 18 wait 50
At time 131 process 11 Stopped arr 75 total 22 remain 16 wait 50
At time 131 process 12 Resumed arr 75 total 17 remain 13 wait 52
At time 133 process 12 Stopped arr 75 total 17 remain 11 wait 52
At time 133 process 13 Resumed arr 79 total 22 remain 18 wait 50
At time 135 process 13 Stopped arr 79 total 22 remain 16 wait 50
At time 135 process 14 Resumed arr 89 total 18 remain 16 wait 44
At time 137 process 14 Stopped arr 89 total 18 remain 14 wait 44
At time 137 process 15 Resumed arr 97 total 7 remain 5 wait 38
At time 139 process 15 Stopped arr 97 total 7 remain 3 wait 38
At time 139 process 3 Resumed arr 20 total 26 remain 8 wait 101
At time 141 process 3 Stopped arr 20 total 26 remain 6 wait 101
At time 141 process 4 Resumed arr 21 total 20 remain 2 wait 102
At time 143 process 4 Finished arr 21 total 20 remain 0 wait 102 TA 122 WTA 6.10
At time 143 process 6 Resumed arr 36 total 19 remain 7 wait 95
At time 145 process 6 Stopped arr 36 total 19 remain 5 wait 95
At time 145 process 7 Resumed arr 46 total 26 remain 16 wait 89
At time 147 process 7 Stopped arr 46 total 26 remain 14 wait 89
At time 147 process 8 Resumed arr 53 total 27 remain 19 wait 86
At time 149 process 8 Stopped arr 53 total 27 remain 17 wait 86
At time 149 process 9 Resumed arr 61 total 29 remain 21 wait 80
At time 151 process 9 Stopped arr 61 total 29 remain 19 wait 80
At time 151 process 10 Resumed arr 70 total 9 remain 3 wait 75
At time 153 process 10 Stopped arr 70 total 9 remain 1 wait 75
At time 153 process 11 Resumed arr 75 total 22 remain 16 wait 72
At time 155 process 11 Stopped arr 75 total 22 remain 14 wait 72
At time 155 process 12 Resumed arr 75 total 17 remain 11 wait 74
At time 157 process 12 Stopped arr 75 total 17 remain 9 wait 74
At time 157 process 13 Resumed arr 79 total 22 remain 16 wait 72
At time 159 process 13 Stopped arr 79 total 22 remain 14 wait 72
At time 159 process 14 Resumed arr 89 total 18 remain 14 wait 66
At time 161 process 14 Stopped arr 89 total 18 remain 12 wait 66
At time 161 process 15 Resumed arr 97 total 7 remain 3 wait 60
At time 163 process 15 Stopped arr 97 total 7 remain 1 wait 60
At time 163 process 3 Resumed arr 20 total 26 remain 6 wait 123
At time 165 process 3 Stopped arr 20 total 26 remain 4 wait 123
At time 165 process 6 Resumed arr 36 total 19 remain 5 wait 115
At time 167 process 6 Stopped arr 36 total 19 remain 3 wait 115
At time 167 process 7 Resumed arr 46 total 26 remain 14 wait 109
At time 169 process 7 Stopped arr 46 total 26 remain 12 wait 109
At time 169 process 8 Resumed arr 53 total 27 remain 17 wait 106
At time 171 process 8 Stopped arr 53 total 27 remain 15 wait 106
At time 171 process 9 Resumed arr 61 total 29 remain 19 wait 100
At time 173 process 9 Stopped arr 61 total 29 remain 17 wait 100
At time 173 process 10 Resumed arr 70 total 9 remain 1 wait 95
At time 174 process 10 Finished arr 70 total 9 remain 0 wait 95 TA 104 WTA 11.56
At time 174 process 11 Resumed arr 75 total 22 remain 14 wait 91
At time 176 process 11 Stopped arr 75 total 22 remain 12 wait 91
At time 176 process 12 Resumed arr 75 total 17 remain 9 wait 93
At time 178 process 12 Stopped arr 75 total 17 remain 7 wait 93
At time 178 process 13 Resumed arr 79 total 22 remain 14 wait 91
At time 180 process 13 Stopped arr 79 total 22 remain 12 wait 91
At time 180 process 14 Resumed arr 89 total 18 remain 12 wait 85
At time 182 process 14 Stopped arr 89 total 18 remain 10 wait 85
At time 182 process 15 Resumed arr 97 total 7 remain 1 wait 79
At time 183 process 15 Finished arr 97 total 7 remain 0 wait 79 TA 86 WTA 12.29
At time 183 process 3 Resumed arr 20 total 26 remain 4 wait 141
At time 185 process 3 Stopped arr 20 total 26 remain 2 wait 141
At time 185 process 6 Resumed arr 36 total 19 remain 3 wait 133
At time 187 process 6 Stopped arr 36 total 19 remain 1 wait 133
At time 187 process 7 Resumed arr 46 total 26 remain 12 wait 127
At time 189 process 7 Stopped arr 46 total 26 remain 10 wait 127
At time 189 process 8 Resumed arr 53 total 27 remain 15 wait 124
At time 191 process 8 Stopped arr 53 total 27 remain 13 wait 124
At time 191 process 9 Resumed arr 61 total 29 remain 17 wait 118
At time 193 process 9 Stopped arr 61 total 29 remain 15 wait 118
At time 193 process 11 Resumed arr 75 total 22 remain 12 wait 108
At time 195 process 11 Stopped arr 75 total 22 remain 10 wait 108
At time 195 process 12 Resumed arr 75 total 17 remain 7 wait 110
At time 197 process 12 Stopped arr 75 total 17 remain 5 wait 110
At time 197 process 13 Resumed arr 79 total 22 remain 12 wait 108
At time 199 process 13 Stopped arr 79 total 22 remain 10 wait 108
At time 199 process 14 Resumed arr 89 total 18 remain 10 wait 102
At time 201 process 14 Stopped arr 89 total 18 remain 8 wait 102
At time 201 process 3 Resumed arr 20 total 26 remain 2 wait 157
At time 203 process 3 Finished arr 20 total 26 remain 0 wait 157 TA 183 WTA 7.04
At time 203 process 6 Resumed arr 36 total 19 remain 1 wait 149
At time 204 process 6 Finished arr 36 total 19 remain 0 wait 149 TA 168 WTA 8.84
At time 204 process 7 Resumed arr 46 total 26 remain 10 wait 142
At time 206 process 7 Stopped arr 46 total 26 remain 8 wait 142
At time 206 process 8 Resumed arr 53 total 27 remain 13 wait 139
At time 208 process 8 Stopped arr 53 total 27 remain 11 wait 139
At time 208 process 9 Resumed arr 61 total 29 remain 15 wait 133
At time 210 process 9 Stopped arr 61 total 29 remain 13 wait 133
At time 210 process 11 Resumed arr 75 total 22 remain 10 wait 123
At time 212 process 11 Stopped arr 75 total 22 remain 8 wait 123
At time 212 process 12 Resumed arr 75 total 17 remain 5 wait 125
At time 214 process 12 Stopped arr 75 total 17 remain 3 wait 125
At time 214 process 13 Resumed arr 79 total 22 remain 10 wait 123
At time 216 process 13 Stopped arr 79 total 22 remain 8 wait 123
At time 216 process 14 Resumed arr 89 total 18 remain 8 wait 117
At time 218 process 14 Stopped arr 89 total 18 remain 6 wait 117
At time 218 process 7 Resumed arr 46 total 26 remain 8 wait 154
At time 220 process 7 Stopped arr 46 total 26 remain 6 wait 154
At time 220 process 8 Resumed arr 53 total 27 remain 11 wait 151
At time 222 process 8 Stopped arr 53 total 27 remain 9 wait 151
At time 222 process 9 Resumed arr 61 total 29 remain 13 wait 145
At time 224 process 9 Stopped arr 61 total 29 remain 11 wait 145
At time 224 process 11 Resumed arr 75 total 22 remain 8 wait 135
At time 226 process 11 Stopped arr 75 total 22 remain 6 wait 135
At time 226 process 12 Resumed arr 75 total 17 remain 3 wait 137
At time 228 process 12 Stopped arr 75 total 17 remain 1 wait 137
At time 228 process 13 Resumed arr 79 total 22 remain 8 wait 135
At time 230 process 13 Stopped arr 79 total 22 remain 6 wait 135
At time 230 process 14 Resumed arr 89 total 18 remain 6 wait 129
At time 232 process 14 Stopped arr 89 total 18 remain 4 wait 129
At time 232 process 7 Resumed arr 46 total 26 remain 6 wait 166
At time 234 process 7 Stopped arr 46 total 26 remain 4 wait 166
At time 234 process 8 Resumed arr 53 total 27 remain 9 wait 163
At time 236 process 8 Stopped arr 53 total 27 remain 7 wait 163
At time 236 process 9 Resumed arr 61 total 29 remain 11 wait 157
At time 238 process 9 Stopped arr 61 total 29 remain 9 wait 157
At time 238 process 11 Resumed arr 75 total 22 remain 6 wait 147
At time 240 process 11 Stopped arr 75 total 22 remain 4 wait 147
At time 240 process 12 Resumed arr 75 total 17 remain 1 wait 149
At time 241 process 12 Finished arr 75 total 17 remain 0 wait 149 TA 166 WTA 9.76
At time 241 process 13 Resumed arr 79 total 22 remain 6 wait 146
At time 243 process 13 Stopped arr 79 total 22 remain 4 wait 146
At time 243 process 14 Resumed arr 89 total 18 remain 4 wait 140
At time 245 process 14 Stopped arr 89 total 18 remain 2 wait 140
At time 245 process 7 Resumed arr 46 total 26 remain 4 wait 177
At time 247 process 7 Stopped arr 46 total 26 remain 2 wait 177
At time 247 process 8 Resumed arr 53 total 27 remain 7 wait 174
At time 249 process 8 Stopped arr 53 total 27 remain 5 wait 174
At time 249 process 9 Resumed arr 61 total 29 remain 9 wait 168
At time 251 process 9 Stopped arr 61 total 29 remain 7 wait 168
At time 251 process 11 Resumed arr 75 total 22 remain 4 wait 158
At time 253 process 11 Stopped arr 75 total 22 remain 2 wait 158
At time 253 process 13 Resumed arr 79 total 22 remain 4 wait 156
At time 255 process 13 Stopped arr 79 total 22 remain 2 wait 156
At time 255 process 14 Resumed arr 89 total 18 remain 2 wait 150
At time 257 process 14 Finished arr 89 total 18 remain 0 wait 150 TA 168 WTA 9.33
At time 257 process 7 Resumed arr 46 total 26 remain 2 wait 187
At time 259 process 7 Finished arr 46 total 26 remain 0 wait 187 TA 213 WTA 8.19
At time 259 process 8 Resumed arr 53 total 27 remain 5 wait 184
At time 261 process 8 Stopped arr 53 total 27 remain 3 wait 184
At time 261 process 9 Resumed arr 61 total 29 remain 7 wait 178
At time 263 process 9 Stopped arr 61 total 29 remain 5 wait 178
At time 263 process 11 Resumed arr 75 total 22 remain 2 wait 168
At time 265 process 11 Finished arr 75 total 22 remain 0 wait 168 TA 190 WTA 8.64
At time 265 process 13 Resumed arr 79 total 22 remain 2 wait 166
At time 267 process 13 Finished arr 79 total 22 remain 0 wait 166 TA 188 WTA 8.55
At time 267 process 8 Resumed arr 53 total 27 remain 3 wait 190
At time 269 process 8 Stopped arr 53 total 27 remain 1 wait 190
At time 269 process 9 Resumed arr 61 total 29 remain 5 wait 184
At time 271 process 9 Stopped arr 61 total 29 remain 3 wait 184
At time 271 process 8 Resumed arr 53 total 27 remain 1 wait 192
At time 272 process 8 Finished arr 53 total 27 remain 0 wait 192 TA 219 WTA 8.11
At time 272 process 9 Resumed arr 61 total 29 remain 3 wait 185
At time 274 process 9 Stopped arr 61 total 29 remain 1 wait 185
At time 274 process 9 Resumed arr 61 total 29 remain 1 wait 185
At time 275 process 9 Finished arr 61 total 29 remain 0 wait 185 TA 214 WTA 7.38
